[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=45, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=46, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=47, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=48, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=49, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=50, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=51, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=52, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=53, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=54, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=55, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=56, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=57, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=58, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=59, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=60, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=61, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=62, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=63, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=64, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=65, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=66, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=67, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=68, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=69, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=70, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=71, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=72, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=73, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=74, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=75, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=76, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=77, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=78, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=79, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=80, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=81, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=82, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=83, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=84, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=85, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=86, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=87, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=88, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=89, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=90, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=91, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=92, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=93, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=94, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=95, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=96, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=97, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=98, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=99, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=100, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=1, capacity=30, passagers=[]]
